spp_author,Species,BEs
"Proceratophrys cururu Eterovick & Sazima, 1998",Proceratophrys cururu,1
"Rhachisaurus brachylepis (Dixon, 1974)",Rhachisaurus brachylepis,1
"Scinax curicica Pugliesse et al., 2004",Scinax curicica,1
"Scinax machadoi (Bokermann & Sazima, 1973)",Scinax machadoi,1
"Tantilla boipiranga Sawaya & Sazima, 2003",Tantilla boipiranga,1
"Thoropa megatympanum Caramaschi & Sazima, 1984",Thoropa megatympanum,1
"Trilepida jani (Pinto & Fernandes, 2012)",Trilepida jani,1
"Trinomys moojeni (Pessôa et al., 1992)",Trinomys moojeni,1
"Alipiopsitta xanthops (Spix, 1824)",Alipiopsitta xanthops,2
"Antilophia galeata (Lichtenstein, 1823)",Antilophia galeata,2
"Arremon flavirostris Swainson, 1838",Arremon flavirostris,2
"Bothrops moojeni Hoge, 1966",Bothrops moojeni,2
"Charitospiza eucosma Oberholser, 1905",Charitospiza eucosma,2
"Chiasmocleis albopunctata (Boettger, 1885)",Chiasmocleis albopunctata,2
"Clibanornis rectirostris (Wied, 1831)",Clibanornis rectirostris,2
"Cyanocorax cristatellus (Temminck, 1823)",Cyanocorax cristatellus,2
"Epicrates crassus Cope, 1862",Epicrates crassus,2
"Herpsilochmus longirostris Pelzeln, 1868",Herpsilochmus longirostris,2
"Lycalopex vetulus (Lund, 1842)",Lycalopex vetulus,2
"Melanopareia torquata (Wied, 1831)",Melanopareia torquata,2
"Myiothlypis leucophrys (Pelzeln, 1868)",Myiothlypis leucophrys,2
"Neothraupis fasciata (Lichtenstein, 1823)",Neothraupis fasciata,2
"Physalaemus centralis Bokermann, 1962",Physalaemus centralis,2
"Physalaemus nattereri (Steindachner, 1863)",Physalaemus nattereri,2
"Pithecopus azureus (Cope, 1862)",Pithecopus azureus,2
"Porphyrospiza caerulescens (Wied, 1830)",Porphyrospiza caerulescens,2
"Saltatricula atricollis (Vieillot, 1817)",Saltatricula atricollis,2
"Apostolepis assimilis* (Reinhardt, 1861)",Apostolepis assimilis*,3
"Bothrops itapetiningae (Boulenger, 1907)",Bothrops itapetiningae,3
"Bothrops pauloensis Amaral, 1925",Bothrops pauloensis,3
"Erythrolamprus frenatus (Werner, 1909)",Erythrolamprus frenatus,3
"Phalotris mertensi (Hoge, 1955)",Phalotris mertensi,3
"Rhachidelus brazili Boulenger, 1908",Rhachidelus brazili,3
