species,latitude,longitude
Alipiopsitta xanthops,-10,-45.8
Alipiopsitta xanthops,-15.7167,-47.95
Alipiopsitta xanthops,-15.35,-45.8333
Alipiopsitta xanthops,-18.5795,-46.5184
Alipiopsitta xanthops,-18.9445,-46.9934
Alipiopsitta xanthops,-20.2575,-47.4774
Alipiopsitta xanthops,-18.1015,-54.5525
Alipiopsitta xanthops,-12.0255,-48.5394
Alipiopsitta xanthops,-19.3535,-47.2934
Alipiopsitta xanthops,-17.3455,-44.9424
Alipiopsitta xanthops,-17.35,-44.9333
Alipiopsitta xanthops,-15.8525,-48.9594
Alipiopsitta xanthops,-10.4435,-49.1824
Alipiopsitta xanthops,-15.4535,-47.6144
Alipiopsitta xanthops,-15.9345,-52.3174
Alipiopsitta xanthops,-17.8155,-50.1644
Alipiopsitta xanthops,-20.1167,-47.9667
Alipiopsitta xanthops,-10.7085,-48.4174
Alipiopsitta xanthops,-15.65,-56.2
Alipiopsitta xanthops,-21.7635,-52.1165
Alipiopsitta xanthops,-18.4185,-46.4184
Alipiopsitta xanthops,-21.8765,-51.8445
Alipiopsitta xanthops,-15.9333,-47.8833
Alipiopsitta xanthops,-18.95,-48.2
Alipiopsitta xanthops,-16.2305,-45.9924
Alipiopsitta xanthops,-20.4435,-53.7595
Alipiopsitta xanthops,-12.9425,-51.8244
Alipiopsitta xanthops,-20.0815,-47.4214
Alipiopsitta xanthops,-15.9167,-52.25
Alipiopsitta xanthops,-11.4005,-46.8834
Alipiopsitta xanthops,-13.5,-51.3833
Alipiopsitta xanthops,-19.4495,-54.9875
Alipiopsitta xanthops,-12.0833,-46.7667
Alipiopsitta xanthops,-19.1945,-46.2474
Alipiopsitta xanthops,-11.35,-43.8667
Alipiopsitta xanthops,-17.7985,-50.9284
Alipiopsitta xanthops,-18.9185,-54.8445
Alipiopsitta xanthops,-20.1795,-51.0024
Alipiopsitta xanthops,-19.8655,-47.4404
Alipiopsitta xanthops,-15.65,-53.9
Alipiopsitta xanthops,-20.0895,-50.9544
Alipiopsitta xanthops,-20.2115,-50.9264
Alipiopsitta xanthops,-17.8145,-50.5974
Alipiopsitta xanthops,-19.3095,-47.5254
Alipiopsitta xanthops,-10.4705,-50.5034
Alipiopsitta xanthops,-9.8333,-45.35
Alipiopsitta xanthops,-15.8665,-56.0775
Alipiopsitta xanthops,-15.85,-47.9333
Alipiopsitta xanthops,-12.3635,-44.9734
Alipiopsitta xanthops,-13.3985,-46.3184
Alipiopsitta xanthops,-11.6175,-50.6694
Alipiopsitta xanthops,-11.7,-50.7
Alipiopsitta xanthops,-19.3955,-54.5665
Alipiopsitta xanthops,-18.3385,-45.8334
Alipiopsitta xanthops,-20.6415,-46.5064
Alipiopsitta xanthops,-14.7,-47.5333
Alipiopsitta xanthops,-21.2685,-51.6665
Alipiopsitta xanthops,-11.0333,-45.5333
Alipiopsitta xanthops,-13.2755,-50.1634
Alipiopsitta xanthops,-5.0833,-48.4167
Alipiopsitta xanthops,-16.3667,-45.0667
Alipiopsitta xanthops,-20.2455,-46.3664
Alipiopsitta xanthops,-20.3675,-51.4194
Alipiopsitta xanthops,-15.65,-57.2167
Alipiopsitta xanthops,-10.2667,-48.3667
Alipiopsitta xanthops,-19.1115,-46.6904
Alipiopsitta xanthops,-15.6333,-47.8167
Alipiopsitta xanthops,-17.5775,-54.7585
Alipiopsitta xanthops,-12.4167,-46.4333
Alipiopsitta xanthops,-19.9225,-46.8234
Alipiopsitta xanthops,-20.4425,-54.8605
Alipiopsitta xanthops,-13.7765,-47.2654
Alipiopsitta xanthops,-16.1995,-52.5564
Alipiopsitta xanthops,-20.7833,-51.7
Alipiopsitta xanthops,-20.7515,-51.6785
Alipiopsitta xanthops,-18.2065,-45.2424
Alipiopsitta xanthops,-19.7485,-47.9324
Alipiopsitta xanthops,-18.9195,-48.2774
Alipiopsitta xanthops,-16.3585,-46.9064
Alipiopsitta xanthops,-16.0645,-46.2544
Alipiopsitta xanthops,-16.1335,-45.7424
Alipiopsitta xanthops,-14.8667,-55.7833
Alipiopsitta xanthops,-17.5833,-44.7167
Alipiopsitta xanthops,-17.9875,-46.9084
Alipiopsitta xanthops,-6.7333,-43.75
Alipiopsitta xanthops,-16.7425,-48.5164
Alipiopsitta xanthops,-13.0667,-64.8167
Allobates brunneus,-15.1355,-55.5182
Allobates brunneus,-15.2728,-55.5803
Allobates brunneus,-15.2419,-55.4919
Allobates brunneus,-15.2667,-55.5311
Allobates brunneus,-14.9458,-55.7425
Allobates brunneus,-14.9489,-55.7478
Allobates brunneus,-14.9542,-55.7092
Allobates brunneus,-14.9564,-55.6947
Allobates brunneus,-14.9631,-55.6919
Allobates goianus,-14.1825,-47.5347
Allobates goianus,-13.7597,-48.3086
Allobates goianus,-14.3639,-48.5047
Allobates goianus,-16.6026,-48.547
Alopoglossus collii*,-11.8626,-60.9383
Alopoglossus collii*,-12.122,-60.2775
Alopoglossus collii*,-15.3173,-58.8619
Ameerega berohoka,-20.4511,-55.6211
Ameerega berohoka,-16.4447,-51.3936
Ameerega berohoka,-15.6915,-52.4134
Ameerega berohoka,-19.793,-54.9311
Ameerega berohoka,-17.0703,-54.9183
Ameerega berohoka,-17.5694,-52.5511
Ameerega berohoka,-14.5924,-52.409
Ameerega berohoka,-16.4269,-51.8222
Ameerega berohoka,-19.5754,-54.8935
Ameerega berohoka,-19.1002,-54.7858
Ameerega berohoka,-17.2442,-53.069
Ameerega braccata,-15.1355,-55.5182
Ameerega braccata,-15.4608,-55.7494
Ameerega braccata,-15.4879,-55.8196
Ameerega braccata,-15.4293,-55.835
Ameerega braccata,-15.3563,-55.8838
Ameerega braccata,-15.353,-55.8858
Ameerega braccata,-15.3333,-55.8833
Ameerega braccata,-15.4485,-55.9354
Ameerega braccata,-15.4,-55.83
Ameerega braccata,-15.4119,-55.8422
Ameerega braccata,-15.4119,-55.8311
Ameerega braccata,-15.4079,-55.8311
Ameerega flavopicta,-20.8636,-46.388
Ameerega flavopicta,-14.1825,-47.5347
Ameerega flavopicta,-14.1852,-47.7896
Ameerega flavopicta,-19.9022,-43.9597
Ameerega flavopicta,-15.7807,-47.7968
Ameerega flavopicta,-15.7797,-47.9297
Ameerega flavopicta,-17.7085,-48.6454
Ameerega flavopicta,-13.6346,-47.6957
Ameerega flavopicta,-19.4405,-43.7183
Ameerega flavopicta,-19.5136,-43.7447
Ameerega flavopicta,-17.6049,-45.9343
Ameerega flavopicta,-16.4812,-47.9918
Ameerega flavopicta,-13.9946,-49.3937
Ameerega flavopicta,-13.4983,-48.3484
Ameerega flavopicta,-14.4981,-48.4012
Ameerega flavopicta,-8.0618,-55.6116
Ameerega flavopicta,-17.1737,-46.8838
Ameerega flavopicta,-12.6953,-47.8117
Ameerega flavopicta,-12.5919,-47.8769
Ameerega flavopicta,-12.5719,-47.8769
Ameerega flavopicta,-6.0675,-49.9022
Ameerega flavopicta,-20.1389,-47.3086
Ameerega flavopicta,-15.8106,-49.0132
Ameerega flavopicta,-18.2379,-46.3375
Ameerega flavopicta,-20.1175,-47.3158
Ameerega flavopicta,-19.1888,-43.645
Ameerega flavopicta,-19.1691,-43.7141
Ameerega flavopicta,-13.1452,-50.2487
Ameerega flavopicta,-16.3754,-46.8194
Ameerega picta,-20.5529,-56.692
Ameerega picta,-20.789,-56.755
Ameerega picta,-20.6724,-56.7994
Ameerega picta,-20.7914,-56.7566
Ameerega picta,-21.39303,-56.27484
Ameerega picta,-21.0073,-56.4597
Ameerega picta,-20.9833,-56.5166
Ameerega picta,-21.1244,-56.7435
Ameerega picta,-19.2667,-57.6333
Ameerega picta,-18.97432,-57.77488
Ameerega picta,-18.96424,-57.79501
Ameiva jacuba,-18.2189,-52.7714
Ameiva jacuba,-18.3064,-52.8067
Ameiva jacuba,-18.2514,-52.885
Ameiva jacuba,-18.25,-52.8833
Ameiva jacuba,-16.1019,-52.9225
Ameiva jacuba,-18.2258,-52.8372
Ameiva jacuba,-18.245,-52.8825
Ameiva jacuba,-18.2903,-52.8897
Ameiva jacuba,-18.1917,-52.87
Ameiva parecis,-12.5353,-60.4267
Ameivula cipoensis*,-18.522,-43.9137
Ameivula cipoensis*,-19.3333,-43.5333
Ameivula cipoensis*,-19.29,-43.5486
Ameivula cipoensis*,-19.2926,-43.5904
Ameivula cipoensis*,-19.2836,-43.6596
Ameivula cipoensis*,-19.3492,-43.6188
Ameivula cipoensis*,-19.318,-43.5371
Ameivula cipoensis*,-19.2902,-43.5486
Ameivula cipoensis*,-19.3554,-43.6185
Ameivula cipoensis*,-19.3534,-43.6184
Ameivula cipoensis*,-19.3199,-43.5394
Ameivula jalapensis,-10.4167,-47.1
Ameivula jalapensis,-10.3,-46.95
Ameivula mumbuca,-11.6167,-46.8167
Ameivula mumbuca,-10.2628,-46.5655
Ameivula xacriaba*,-15.9175,-46.1064
Ameivula xacriaba*,-15.2,-45.8333
Ameivula xacriaba*,-14.0167,-44.77
Ameivula xacriaba*,-15.1547,-44.305
Ameivula xacriaba*,-12.28,-45.08
Ameivula xacriaba*,-15.372,-44.485
Ameivula xacriaba*,-15.203,-46.231
Amphisbaena absaberi,-16.1667,-57.2333
Amphisbaena acrobeles,-10.5946,-46.7707
Amphisbaena anaemariae,-16.1208,-48.4856
Amphisbaena anaemariae,-16.3051,-48.9724
Amphisbaena anaemariae,-15.7099,-48.0224
Amphisbaena anaemariae,-15.7667,-47.9167
Amphisbaena anaemariae,-19.035,-47.9169
Amphisbaena anaemariae,-16.5541,-48.0218
Amphisbaena anaemariae,-18.25,-52.8833
Amphisbaena anaemariae,-11.0333,-48.2167
Amphisbaena anaemariae,-22.0483,-52.7342
Amphisbaena bedai,-20.7677,-55.6076
Amphisbaena bedai,-20.4667,-55.7833
Amphisbaena bedai,-21.45,-56.1
Amphisbaena brevis,-14.9557,-55.8662
Amphisbaena carli,-14.7667,-45.9167
Amphisbaena carli,-14.0167,-45.9
Amphisbaena carli,-14.05,-45.7
Amphisbaena carli,-12.7989,-45.4834
Amphisbaena crisae,-10.6833,-50.6333
Amphisbaena crisae,-11.8333,-50.3333
Amphisbaena crisae,-18.25,-52.8833
Amphisbaena crisae,-12.9417,-51.8242
Amphisbaena cuiabana,-15.4667,-58.35
Amphisbaena cuiabana,-13.6667,-57.8833
Amphisbaena cuiabana,-15.45,-55.7333
Amphisbaena cuiabana,-15.5961,-56.0967
Amphisbaena filiformis*,-7.2458,-47.7675
Amphisbaena filiformis*,-6.5869,-47.4608
Amphisbaena kraoh,-10.7022,-46.4128
Amphisbaena kraoh,-10.1891,-48.1085
Amphisbaena kraoh,-8.9675,-48.1747
Amphisbaena kraoh,-10.5333,-46.4167
Amphisbaena leeseri,-20.4667,-55.7833
Amphisbaena leeseri,-22.1092,-56.5208
Amphisbaena leeseri,-19.0092,-57.6533
Amphisbaena leeseri,-19.2167,-57.55
Amphisbaena leeseri,-19,-57.65
Amphisbaena leeseri,-21.45,-56.1
Amphisbaena leeseri,-20.9828,-51.7892
Amphisbaena leeseri,-22.2833,-53.25
Amphisbaena leeseri,-22.241,-57.615
Amphisbaena maranhensis,-7.1525,-45.3039
Amphisbaena mebengokre*,-16.4569,-51.3781
Amphisbaena neglecta,-15.4529,-55.7392
Amphisbaena persephone*,-13.8833,-45.7
Amphisbaena sanctaeritae,-21.7312,-47.4959
Amphisbaena sanctaeritae,-21.7833,-47.6
Amphisbaena saxosa,-9.75,-48.35
Amphisbaena silvestrii,-18.1667,-53.35
Amphisbaena silvestrii,-12.8642,-53.1611
Amphisbaena silvestrii,-15.8833,-52.2167
Amphisbaena silvestrii,-14.9203,-51.0831
Amphisbaena silvestrii,-10.6833,-50.6333
Amphisbaena silvestrii,-13.5394,-52.1636
Amphisbaena silvestrii,-11.5,-54.8833
Amphisbaena silvestrii,-15.5989,-56.0949
Amphisbaena silvestrii,-19.9272,-56.8103
Amphisbaena silvestrii,-13.2167,-51.65
Amphisbaena silvestrii,-11.7167,-49.0667
Amphisbaena silvestrii,-12.0833,-53.4
Amphisbaena silvestrii,-18.25,-52.8833
Amphisbaena silvestrii,-14.7203,-56.3275
Amphisbaena silvestrii,-17.3167,-53.2
Amphisbaena silvestrii,-10.83,-55.5
Amphisbaena silvestrii,-13.0316,-58.3126
Amphisbaena silvestrii,-14.6667,-52.35
Amphisbaena silvestrii,-13.0333,-58.2833
Amphisbaena silvestrii,-17.4569,-63.6578
Amphisbaena steindachneri,-16.05,-57.3833
Amphisbaena steindachneri,-11.6748,-61.191
Amphisbaena steindachneri,-13.4833,-61.05
Amphisbaena steindachneri,-15,-59.95
Amphisbaena talisiae,-14.1333,-47.5
Amphisbaena talisiae,-15.7099,-48.0224
Amphisbaena talisiae,-15.7667,-47.9167
Amphisbaena talisiae,-16.0089,-47.9497
Amphisbaena talisiae,-16.5541,-48.0218
Amphisbaena talisiae,-14.05,-48.3167
Amphisbaena talisiae,-17.2167,-46.8667
Amphisbaena talisiae,-14.0333,-48.3167
Amphisbaena talisiae,-15.8167,-52.1667
Anolis meridionalis,-22.7833,-49.2333
Anolis meridionalis,-17.9833,-53.6167
Anolis meridionalis,-17.3042,-53.2014
Anolis meridionalis,-15.89,-52.2567
Anolis meridionalis,-10.6833,-50.6333
Anolis meridionalis,-20.5333,-56.7
Anolis meridionalis,-20.7011,-56.8803
