species,voucher,series,locality,municipality,state,country,latitude,longitude,elevation
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Nueva Germania,San Pedro,Paraguay,-23.9,-56.5667,95
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Guarayos,Santa Cruz,Bolivia,-17.5833,-61.7667,270
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,20 Km N of São João da Aliança,GO,Brazil,-14.5333,-47.4333,1009
Alipiopsitta xanthops,WikiAves,,,Abadiânia,GO,Brazil,-16.2045,-48.7074,920
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Abadiânia/GO,GO,Brazil,-16.2045,-48.7074,920
Alipiopsitta xanthops,WikiAves,,,Abreulândia,TO,Brazil,-9.6215,-49.1514,255
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Abreulândia/TO,TO,Brazil,-9.6215,-49.1514,255
Alipiopsitta xanthops,WikiAves,,,Água Clara,MS,Brazil,-20.4485,-52.8784,305
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Água Clara/MS,MS,Brazil,-20.4485,-52.8784,305
Alipiopsitta xanthops,WikiAves,,,Água Fria de Goiás,GO,Brazil,-14.9865,-47.7844,1140
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Água Fria de Goiás/GO,GO,Brazil,-14.9865,-47.7844,1140
Alipiopsitta xanthops,WikiAves,,,Alexânia,GO,Brazil,-16.0825,-48.5074,933
Alipiopsitta xanthops,WikiAves,,,Alto Araguaia,MT,Brazil,-17.3155,-53.2155,629
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Alto Araguaia/MT,MT,Brazil,-17.3155,-53.2155,629
Alipiopsitta xanthops,WikiAves,,,Alto Paraíso de Goiás,GO,Brazil,-14.1335,-47.5104,1156
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Alto Paraíso de Goiás/GO,GO,Brazil,-14.1335,-47.5104,1156
Alipiopsitta xanthops,WikiAves,,,Alto Parnaíba,MA,Brazil,-9.1115,-45.9304,277
