Species,Latitude,Longitude,alt
Alipiopsitta xanthops,-17.5833,-44.7167,526
Alipiopsitta xanthops,-17.9875,-46.9084,613
Alipiopsitta xanthops,-6.7333,-43.75,141
Alipiopsitta xanthops,-16.7425,-48.5164,916
Alipiopsitta xanthops,-13.0667,-64.8167,159
Allobates brunneus,-15.1355,-55.5182,298
Allobates brunneus,-15.2728,-55.5803,341
Allobates brunneus,-15.2419,-55.4919,409
Allobates brunneus,-15.2667,-55.5311,388
Allobates brunneus,-14.9458,-55.7425,290
Allobates brunneus,-14.9489,-55.7478,290
Allobates brunneus,-14.9542,-55.7092,296
Allobates brunneus,-14.9564,-55.6947,321
Allobates brunneus,-14.9631,-55.6919,301
Allobates goianus,-14.1825,-47.5347,1018
Allobates goianus,-13.7597,-48.3086,456
Allobates goianus,-14.3639,-48.5047,610
Allobates goianus,-16.6026,-48.547,906
Alopoglossus collii*,-11.8626,-60.9383,243
Alopoglossus collii*,-12.122,-60.2775,400
Alopoglossus collii*,-15.3173,-58.8619,459
Ameerega berohoka,-20.4511,-55.6211,393
Ameerega berohoka,-16.4447,-51.3936,405
Ameerega berohoka,-15.6915,-52.4134,581
Ameerega berohoka,-19.793,-54.9311,497
Ameerega berohoka,-17.0703,-54.9183,305
Ameerega berohoka,-17.5694,-52.5511,674
Ameerega berohoka,-14.5924,-52.409,468
Ameerega berohoka,-16.4269,-51.8222,453
Ameerega berohoka,-19.5754,-54.8935,299
Ameerega berohoka,-19.1002,-54.7858,434
Ameerega berohoka,-17.2442,-53.069,663
Ameerega braccata,-15.1355,-55.5182,298
Ameerega braccata,-15.4608,-55.7494,762
Ameerega braccata,-15.4879,-55.8196,503
Ameerega braccata,-15.4293,-55.835,763
Ameerega braccata,-15.3563,-55.8838,299
Ameerega braccata,-15.353,-55.8858,299
Ameerega braccata,-15.3333,-55.8833,300
Ameerega braccata,-15.4485,-55.9354,236
Ameerega braccata,-15.4,-55.83,697
Ameerega braccata,-15.4119,-55.8422,647
Ameerega braccata,-15.4119,-55.8311,717
Ameerega braccata,-15.4079,-55.8311,696
Ameerega flavopicta,-20.8636,-46.388,908
Ameerega flavopicta,-14.1825,-47.5347,1018
Ameerega flavopicta,-14.1852,-47.7896,761
Ameerega flavopicta,-8.9667,-46.8667,675
Ameerega flavopicta,-19.9022,-43.9597,885
Ameerega flavopicta,-15.7807,-47.7968,1000
Ameerega flavopicta,-15.7797,-47.9297,1092
Ameerega flavopicta,-17.7085,-48.6454,745
Ameerega flavopicta,-13.6346,-47.6957,898
Ameerega flavopicta,-19.4405,-43.7183,827
Ameerega flavopicta,-19.5136,-43.7447,805
Ameerega flavopicta,-17.6049,-45.9343,616
Ameerega flavopicta,-16.4812,-47.9918,902
Ameerega flavopicta,-13.9946,-49.3937,695
Ameerega flavopicta,-13.4983,-48.3484,465
Ameerega flavopicta,-14.4981,-48.4012,796
Ameerega flavopicta,-8.0618,-55.6116,394
Ameerega flavopicta,-17.1737,-46.8838,738
Ameerega flavopicta,-12.6953,-47.8117,282
Ameerega flavopicta,-12.5919,-47.8769,279
Ameerega flavopicta,-12.5719,-47.8769,276
Ameerega flavopicta,-6.0675,-49.9022,184
Ameerega flavopicta,-20.1389,-47.3086,609
Ameerega flavopicta,-15.8106,-49.0132,773
Ameerega flavopicta,-18.2379,-46.3375,787
Ameerega flavopicta,-20.1175,-47.3158,611
Ameerega flavopicta,-19.1888,-43.645,1231
Ameerega flavopicta,-19.1691,-43.7141,933
Ameerega flavopicta,-13.1452,-50.2487,313
Ameerega flavopicta,-16.3754,-46.8194,604
Ameerega picta,-20.5529,-56.692,309
Ameerega picta,-20.789,-56.755,397
Ameerega picta,-20.6724,-56.7994,304
Ameerega picta,-20.7914,-56.7566,397
Ameerega picta,-21.0073,-56.4597,303
Ameerega picta,-20.9833,-56.5166,353
Ameerega picta,-21.1244,-56.7435,524
Ameerega picta,-19.2667,-57.6333,300
Ameiva jacuba,-18.2189,-52.7714,752
Ameiva jacuba,-18.3064,-52.8067,760
Ameiva jacuba,-18.2514,-52.885,768
Ameiva jacuba,-18.25,-52.8833,771
Ameiva jacuba,-16.1019,-52.9225,398
Ameiva jacuba,-18.2258,-52.8372,774
Ameiva jacuba,-18.245,-52.8825,771
Ameiva jacuba,-18.2903,-52.8897,772
Ameiva jacuba,-18.1917,-52.87,794
Ameiva parecis,-12.5353,-60.4267,484
Ameivula cipoensis*,-18.522,-43.9137,1307
Ameivula cipoensis*,-19.3333,-43.5333,973
Ameivula cipoensis*,-19.29,-43.5486,1254
Ameivula cipoensis*,-19.2926,-43.5904,1245
Ameivula cipoensis*,-19.2836,-43.6596,902
Ameivula cipoensis*,-19.3492,-43.6188,906
Ameivula cipoensis*,-19.318,-43.5371,1093
Ameivula cipoensis*,-19.2902,-43.5486,1254
Ameivula cipoensis*,-19.3554,-43.6185,908
Ameivula cipoensis*,-19.3534,-43.6184,908
Ameivula cipoensis*,-19.3199,-43.5394,1093
Ameivula jalapensis,-10.4167,-47.1,389
Ameivula jalapensis,-10.3,-46.95,357
Ameivula mumbuca,-11.6167,-46.8167,660
