species,elevation,sample
Alipiopsitta xanthops,319,261
Alipiopsitta xanthops,101,295
Alipiopsitta xanthops,494,369
Alipiopsitta xanthops,901,352
Alipiopsitta xanthops,901,352
Alipiopsitta xanthops,306,247
Alipiopsitta xanthops,306,247
Alipiopsitta xanthops,299,117
Alipiopsitta xanthops,457,363
Alipiopsitta xanthops,193,300
Alipiopsitta xanthops,1220,330
Alipiopsitta xanthops,1220,330
Alipiopsitta xanthops,1089,306
Alipiopsitta xanthops,331,161
Alipiopsitta xanthops,331,161
Alipiopsitta xanthops,706,344
Alipiopsitta xanthops,1194,331
Alipiopsitta xanthops,1194,331
Alipiopsitta xanthops,466,163
Alipiopsitta xanthops,863,325
Alipiopsitta xanthops,863,325
Alipiopsitta xanthops,323,201
Alipiopsitta xanthops,323,201
Alipiopsitta xanthops,321,227
Alipiopsitta xanthops,314,227
Alipiopsitta xanthops,314,227
Alipiopsitta xanthops,610,371
Alipiopsitta xanthops,750,310
Alipiopsitta xanthops,750,310
Alipiopsitta xanthops,690,309
Alipiopsitta xanthops,690,309
Alipiopsitta xanthops,610,327
Alipiopsitta xanthops,610,327
Alipiopsitta xanthops,586,348
Alipiopsitta xanthops,586,348
Alipiopsitta xanthops,503,348
Alipiopsitta xanthops,266,137
Alipiopsitta xanthops,526,371
Alipiopsitta xanthops,613,329
Alipiopsitta xanthops,613,329
Alipiopsitta xanthops,141,381
Alipiopsitta xanthops,916,286
Allobates brunneus,298,137
Allobates brunneus,341,137
Allobates brunneus,409,137
Allobates brunneus,388,137
Allobates brunneus,290,137
Allobates brunneus,290,137
Allobates brunneus,296,137
Allobates brunneus,321,137
Allobates brunneus,301,137
Allobates goianus,1018,304
Allobates goianus,1018,304
Allobates goianus,456,304
Allobates goianus,610,283
Allobates goianus,610,283
Allobates goianus,906,286
Alopoglossus collii*,243,29
Alopoglossus collii*,243,29
Alopoglossus collii*,400,50
Alopoglossus collii*,459,74
Ameerega berohoka,393,142
Ameerega berohoka,405,243
Ameerega berohoka,581,222
Ameerega berohoka,497,163
Ameerega berohoka,305,160
Ameerega berohoka,674,203
Ameerega berohoka,468,221
Ameerega berohoka,453,222
Ameerega berohoka,299,163
Ameerega berohoka,434,162
Ameerega berohoka,663,202
Ameerega braccata,298,137
Ameerega braccata,762,137
Ameerega braccata,503,137
Ameerega braccata,763,137
Ameerega braccata,299,137
Ameerega braccata,299,137
Ameerega braccata,300,137
Ameerega braccata,236,137
Ameerega braccata,697,137
Ameerega braccata,647,137
Ameerega braccata,717,137
Ameerega braccata,696,137
Ameerega flavopicta,908,353
Ameerega flavopicta,1018,304
Ameerega flavopicta,761,304
Ameerega flavopicta,885,394
Ameerega flavopicta,885,394
Ameerega flavopicta,1000,306
