id,left,top,right,bottom,xcoord,ycoord
182,-54.443771362158600,-17.532325744837181,-53.443771362158600,-18.532325744837181,-53.9437713621586,-18.0323257448372
183,-54.443771362158600,-18.532325744837181,-53.443771362158600,-19.532325744837181,-53.9437713621586,-19.0323257448372
184,-54.443771362158600,-19.532325744837181,-53.443771362158600,-20.532325744837181,-53.9437713621586,-20.0323257448372
185,-54.443771362158600,-20.532325744837181,-53.443771362158600,-21.532325744837181,-53.9437713621586,-21.0323257448372
186,-54.443771362158600,-21.532325744837181,-53.443771362158600,-22.532325744837181,-53.9437713621586,-22.0323257448372
187,-54.443771362158600,-22.532325744837181,-53.443771362158600,-23.532325744837181,-53.9437713621586,-23.0323257448372
198,-53.443771362158600,-12.532325744837181,-52.443771362158600,-13.532325744837181,-52.9437713621586,-13.0323257448372
199,-53.443771362158600,-13.532325744837181,-52.443771362158600,-14.532325744837181,-52.9437713621586,-14.0323257448372
200,-53.443771362158600,-14.532325744837181,-52.443771362158600,-15.532325744837181,-52.9437713621586,-15.0323257448372
201,-53.443771362158600,-15.532325744837181,-52.443771362158600,-16.532325744837181,-52.9437713621586,-16.0323257448372
202,-53.443771362158600,-16.532325744837181,-52.443771362158600,-17.532325744837181,-52.9437713621586,-17.0323257448372
203,-53.443771362158600,-17.532325744837181,-52.443771362158600,-18.532325744837181,-52.9437713621586,-18.0323257448372
204,-53.443771362158600,-18.532325744837181,-52.443771362158600,-19.532325744837181,-52.9437713621586,-19.0323257448372
205,-53.443771362158600,-19.532325744837181,-52.443771362158600,-20.532325744837181,-52.9437713621586,-20.0323257448372
206,-53.443771362158600,-20.532325744837181,-52.443771362158600,-21.532325744837181,-52.9437713621586,-21.0323257448372
207,-53.443771362158600,-21.532325744837181,-52.443771362158600,-22.532325744837181,-52.9437713621586,-22.0323257448372
217,-52.443771362158600,-10.532325744837181,-51.443771362158600,-11.532325744837181,-51.9437713621586,-11.0323257448372
218,-52.443771362158600,-11.532325744837181,-51.443771362158600,-12.532325744837181,-51.9437713621586,-12.0323257448372
219,-52.443771362158600,-12.532325744837181,-51.443771362158600,-13.532325744837181,-51.9437713621586,-13.0323257448372
220,-52.443771362158600,-13.532325744837181,-51.443771362158600,-14.532325744837181,-51.9437713621586,-14.0323257448372
221,-52.443771362158600,-14.532325744837181,-51.443771362158600,-15.532325744837181,-51.9437713621586,-15.0323257448372
222,-52.443771362158600,-15.532325744837181,-51.443771362158600,-16.532325744837181,-51.9437713621586,-16.0323257448372
